"date","month","quarter","year","visitors","trends","average_temperature","raining_days","school_holidays"
2020-05-01,5,2,2020,0,30,18,14,2
2020-06-01,6,2,2020,11056,21,20,17,22
2020-07-01,7,3,2020,16122,20,24,13,31
2020-08-01,8,3,2020,40368,27,24,13,31
2020-09-01,9,3,2020,26585,23,19,11,14
2020-10-01,10,4,2020,25829,21,12,12,0
2020-11-01,11,4,2020,1625,16,8,3,1
2020-12-01,12,4,2020,0,10,3,12,11
2021-01-01,1,1,2021,0,19,2,12,6
2021-02-01,2,1,2021,18627,36,6,8,5
2021-03-01,3,1,2021,0,13,9,5,5
2021-04-01,4,2,2021,1530,20,11,13,6
2021-05-01,5,2,2021,30447,33,15,12,1
2021-06-01,6,2,2021,36246,28,22,16,21
2021-07-01,7,3,2021,42933,27,23,19,31
2021-08-01,8,3,2021,53433,38,23,10,31
2021-09-01,9,3,2021,39147,31,20,10,13
2021-10-01,10,4,2021,58271,44,12,6,0
2021-11-01,11,4,2021,60473,45,7,15,1
2021-12-01,12,4,2021,57776,40,3,1,7
2022-01-01,1,1,2022,44209,36,3,2,8
2022-02-01,2,1,2022,44844,53,6,2,3
2022-03-01,3,1,2022,64264,52,8,8,1
2022-04-01,4,2,2022,103418,64,13,7,6
2022-05-01,5,2,2022,95850,46,19,17,1
2022-06-01,6,2,2022,64447,30,24,12,23
2022-07-01,7,3,2022,68550,29,27,11,31
2022-08-01,8,3,2022,96522,53,25,14,31
2022-09-01,9,3,2022,64444,42,19,10,12
2022-10-01,10,4,2022,92914,55,17,6,0
2022-11-01,11,4,2022,81450,46,9,8,1
2022-12-01,12,4,2022,86452,55,3,7,9
